2017-08-09T18:56:00.440891: AsyncSslTcpClient::Connect
2017-08-09T18:56:00.493501: AsyncSslTcpClient::AsyncWrite, msgId=3101
2017-08-09T18:56:00.493501: AbstractAsyncTcpClient::AsyncWrite success, msgId=3101, bytes_transferred=150
2017-08-09T18:56:00.498498: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=0, MsgType=6, msgSize=0
2017-08-09T18:56:00.516499: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3101, MsgType=3, msgSize=303
2017-08-09T18:56:00.516499: AsyncSslTcpClient::AsyncWrite, msgId=3187
2017-08-09T18:56:00.517500: AbstractAsyncTcpClient::AsyncWrite success, msgId=3187, bytes_transferred=64
2017-08-09T18:56:00.517500: AsyncSslTcpClient::AsyncWrite, msgId=3181
2017-08-09T18:56:00.517500: AbstractAsyncTcpClient::AsyncWrite success, msgId=3181, bytes_transferred=31
2017-08-09T18:56:00.517500: AsyncSslTcpClient::AsyncWrite, msgId=3164
2017-08-09T18:56:00.517500: AbstractAsyncTcpClient::AsyncWrite success, msgId=3164, bytes_transferred=21
2017-08-09T18:56:00.517500: AsyncSslTcpClient::AsyncWrite, msgId=3164
2017-08-09T18:56:00.517500: AbstractAsyncTcpClient::AsyncWrite success, msgId=3164, bytes_transferred=21
2017-08-09T18:56:00.517500: AsyncSslTcpClient::AsyncWrite, msgId=3164
2017-08-09T18:56:00.518503: AbstractAsyncTcpClient::AsyncWrite success, msgId=3164, bytes_transferred=21
2017-08-09T18:56:00.521500: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3184, MsgType=0, msgSize=25
2017-08-09T18:56:00.521500: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3129, MsgType=0, msgSize=30
2017-08-09T18:56:00.524502: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3165, MsgType=0, msgSize=8
2017-08-09T18:56:00.524502: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3170, MsgType=0, msgSize=267
